Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6410378,Portfolios of the Poor: How the World's Poor Live on $2 a Day,Daryl Collins,"Collins, Daryl","Jonathan Morduch, Stuart Rutherford, Orlanda Ruthven","=""0691141487""","=""9780691141480""",0,3.95,Princeton University Press,Hardcover,296,2009,2009,,2011/04/05,to-read,to-read (#9),to-read,,,,0,0
9706504,India Calling: An Intimate Portrait of a Nation's Remaking,Anand Giridharadas,"Giridharadas, Anand",,"=""0805091777""","=""9780805091779""",5,3.78,Times Books,Hardcover,273,2011,2010,2011/04/05,2011/04/01,,,read,,,,1,0
8564020,Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Rules,Jeff                                                 Johnson,"Johnson, Jeff",,"=""0080963021""","=""9780080963020""",0,4.10,Elsevier Science & Technology,Kindle Edition,201,2010,2010,,2011/04/01,to-read,to-read (#8),to-read,,,,0,0
8301668,Coming Back STRONGER: Unleashing the Hidden Power of Adversity,Drew Brees,"Brees, Drew","Mark Brunell, Chris Fabry","=""1414339437""","=""9781414339436""",4,4.19,Tyndale House Publishers,Hardcover,303,2010,2010,2011/01/01,2011/04/01,,,read,,,,1,0
10289291,Ambani & Sons,Hamish McDonald,"McDonald, Hamish",,"=""""","=""""",0,3.86,Roli Books,Paperback,,2010,2010,,2011/04/01,to-read,to-read (#7),to-read,,,,0,0
265513,The Polyester Prince: The Rise of Dhirubhai Ambani,Hamish McDonald,"McDonald, Hamish",,"=""1864484683""","=""9781864484687""",0,3.89,Allen & Unwin,Paperback,296,1999,1998,,2011/04/01,to-read,to-read (#6),to-read,,,,0,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.36,Scholastic Press,Hardcover,391,2009,2009,,2011/02/27,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.35,Scholastic Press,Hardcover,374,2008,2008,2011/02/27,2010/12/30,,,read,,,,1,0
7821348,Reality is Broken: Why Games Make Us Better and How They Can Change the World,Jane McGonigal,"McGonigal, Jane",,"=""0224089250""","=""9780224089258""",0,3.79,Jonathan Cape,Paperback,354,2011,2010,,2011/02/23,to-read,to-read (#5),to-read,,,,0,0
6988746,HTML5: Up and Running: Dive into the Future of Web Development,Mark Pilgrim,"Pilgrim, Mark",,"=""0596806027""","=""9780596806026""",0,3.97,O'Reilly Media,Paperback,207,2010,2010,,2011/02/23,to-read,to-read (#4),to-read,,,,0,0
8051458,"The Reapers are the Angels (Reapers, #1)",Alden Bell,"Bell, Alden",,"=""0805092439""","=""9780805092431""",0,3.89,Holt Paperbacks,Paperback,225,2010,2010,,2011/01/20,to-read,to-read (#3),to-read,,,,0,0
13199,A Quiver Full of Arrows,Jeffrey Archer,"Archer, Jeffrey",,"=""0312937695""","=""9780312937690""",4,3.80,St. Martin's Paperbacks,Mass Market Paperback,288,2005,1980,,2010/12/30,,,read,,,,1,0
78983,"Kane & Abel (Kane & Abel, #1)",Jeffrey Archer,"Archer, Jeffrey",,"=""0312995059""","=""9780312995058""",5,4.35,St. Martin's Paperbacks,Paperback,592,2004,1979,,2010/12/30,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2010/12/30,to-read,to-read (#2),to-read,,,,0,0
7937843,Room,Emma Donoghue,"Donoghue, Emma",,"=""""","=""""",5,4.08,"Little, Brown and Company",Hardcover,321,2010,2010,2010/12/27,2010/12/30,,,read,YOU MUST READ IT.<br/><br/><br/>,,,1,0
7821447,Sh*t My Dad Says,Justin Halpern,"Halpern, Justin",,"=""0061992704""","=""9780061992704""",5,3.98,Dey Street Books,Hardcover,159,2010,2010,2010/11/03,2010/11/03,,,read,I laughed. like literally laughed.,,,1,0
8034188,Where Good Ideas Come From: The Natural History of Innovation,Steven Johnson,"Johnson, Steven",,"=""1594487715""","=""9781594487712""",0,3.99,Riverhead Books,Hardcover,326,2010,2010,,2010/10/29,to-read,to-read (#1),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",4,4.33,Penguin Classics,Paperback,1276,2003,1844,,2010/10/18,,,read,,,,1,0
9297629,Obama's Wars,Bob Woodward,"Woodward, Bob",,"=""143917251X""","=""9781439172513""",5,3.82,Simon & Schuster,Unknown Binding,464,2010,2011,,2010/10/26,,,read,,,,1,0
100469,Orbiting the Giant Hairball: A Corporate Fool's Guide to Surviving with Grace,Gordon MacKenzie,"MacKenzie, Gordon",,"=""0670879835""","=""9780670879830""",5,4.05,Viking,Hardcover,224,1998,1996,,2010/10/18,,,read,,,,1,0
7957361,Half Empty,David Rakoff,"Rakoff, David",,"=""0385525249""","=""9780385525244""",4,3.81,Doubleday,Hardcover,240,2010,2010,,2010/10/18,,,read,,,,1,0
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,"=""0752864327""","=""9780752864327""",5,4.05,Orion,Paperback,566,2005,1980,,2010/10/18,,,read,,,,1,0
968,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",4,3.94,Anchor,Paperback,489,2006,2003,,2010/10/18,,,read,,,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,"=""0141439602""","=""9780141439600""",4,3.88,Penguin Books,Paperback,489,2003,1859,,2010/10/18,,,read,,,,1,0
145624700,Alien Clay,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,,,0,4.07,,Kindle Edition,,2024,2024,,,,,read,,,,1,0
